collides, true
drawYOffset, -16
walk_up_7_sprite, player_walk_up_7
walk_right_1_sprite, player_walk_right_1
walk_down_8_sprite, player_walk_down_8
cycleAnimation, false
walk_down_7_sprite, player_walk_down_7
frameCounter, 5
walk_up_8_sprite, player_walk_up_8
walk_right_5_sprite, player_walk_right_5
walk_down_4_sprite, player_walk_down_4
walk_left_6_sprite, player_walk_left_6
walk_up_5_sprite, player_walk_up_5
walk_up_4_sprite, player_walk_up_4
walk_up_3_sprite, player_walk_up_3
walk_down_3_sprite, player_walk_down_3
walk_down_5_sprite, player_walk_down_5
framesPerSecond, 8
walk_up_1_sprite, player_walk_up_1
oldX, 100
oldY, 270.20914649911
walk_right_8_sprite, player_walk_right_8
height, 10
walk_right_7_sprite, player_walk_right_7
walk_right_6_sprite, player_walk_right_6
x, 100
walk_up_6_sprite, player_walk_up_6
id, player
y, 270.20914649911
walk_right_4_sprite, player_walk_right_4
walk_right_3_sprite, player_walk_right_3
speed, 100
walk_left_7_sprite, player_walk_left_7
walk_right_2_sprite, player_walk_right_2
spriteId, player_walk_down_5
timeSinceLastFrame, 0.09977233299287
walk_down_2_sprite, player_walk_down_2
leftBlocked, false
rightBlocked, false
walk_left_5_sprite, player_walk_left_5
walk_left_4_sprite, player_walk_left_4
walk_left_3_sprite, player_walk_left_3
walk_left_2_sprite, player_walk_left_2
walk_left_1_sprite, player_walk_left_1
walk_up_2_sprite, player_walk_up_2
direction, none
width, 20
state, walk_down
downBlocked, false
walk_down_1_sprite, player_walk_down_1
upBlocked, false
resetAnimation, false
animationPrefix, player
drawXOffset, 0
walk_left_8_sprite, player_walk_left_8
walk_down_6_sprite, player_walk_down_6
